영화명,감독,제작사,수입사,배급사,개봉일,국적,전국스크린수,전국관객수,장르,등급
잠베지아: 신비한 나무섬의 비밀,웨인 쏜리,,블루미지,롯데쇼핑㈜롯데엔터테인먼트,2012-12-25,남아프리카공화국,273,472692,애니메이션,전체관람가
아기곰 보보 구출 대작전,라스무스 A. 실버르센,,(주)컴퍼니엘,와이드 릴리즈(주),2018-04-25,노르웨이,207,16447,애니메이션,전체관람가
엘리아스: 바다의 보물을 찾아라!,리스 오스볼,,(주)소나무픽쳐스,(주)마인스 엔터테인먼트,2014-10-23,노르웨이,199,17305,애니메이션,전체관람가
반지의 제왕 : 두개의 탑,피터 잭슨,,(주)영화사오원,(주)디스테이션,2017-01-18,뉴질랜드,58,27440,판타지,12세이상관람가
반지의 제왕 : 왕의 귀환,피터 잭슨,,(주)영화사오원,(주)디스테이션,2017-01-25,뉴질랜드,56,30349,판타지,12세이상관람가
반지의 제왕 : 반지원정대,피터 잭슨,,(주)영화사오원,(주)디스테이션,2017-01-11,뉴질랜드,74,35758,판타지,12세이상관람가
춤추는 꿈틀이 밴드,토마스 보르히 닐슨,디스코 오르메네,(주)케이앤엔터테인먼트,에이원엔터테인먼트,2010-02-04,덴마크,48,11061,애니메이션,전체관람가
해양경찰 마르코,얀 리벡,,(주)스마일이엔티,(주)인벤트스톤,2013-02-14,덴마크,276,180618,어드벤처,전체관람가
더 도어,안노 사울,유스트 필름프로덕션,(주)컴퍼니엘,예지림엔터테인먼트,2010-09-02,독일,26,13283,드라마,청소년관람불가
피노키오의 모험,안나 저스티스,,(주)소나무픽쳐스,(주)소나무픽쳐스,2014-09-18,독일,54,14557,애니메이션,전체관람가
언프렌드,시몬 베호벤,,(주)크리픽쳐스,(주)크리픽쳐스,2017-02-09,독일,179,23450,스릴러,15세이상관람가
노아의 방주: 남겨진 녀석들,토비 젠켈,,(주)스마일이엔티,씨네그루(주)다우기술,2015-04-30,독일,436,219621,애니메이션,전체관람가
일곱난쟁이,헤랄드 지페르만,,(주)스마일이엔티,메가박스중앙(주)플러스엠,2014-12-24,독일,263,227586,애니메이션,전체관람가
빌리와 용감한 녀석들 3D,"라인하드 클루스,호거 태프",,㈜코리아스크린,(주)에스비에스콘텐츠허브,2012-08-08,독일,241,299434,애니메이션,전체관람가
몬스터 패밀리,호거 태프,,(주)우성엔터테인먼트,씨네그루(주)키다리이엔티,2017-12-21,독일,617,397633,애니메이션,전체관람가
타잔 3D,라인하드 클루스,,우성엔터테인먼트,(주)싸이더스,2014-01-09,독일,527,597142,애니메이션,전체관람가
삼총사 3D,폴 W.S. 앤더슨,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2011-10-12,독일,510,657564,액션,12세이상관람가
레지던트 이블 4: 끝나지 않은 전쟁 3D,폴 W.S. 앤더슨,콘스탄틴 필름 프로덕션,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-09-16,독일,335,1209538,공포(호러),청소년관람불가
