,Unnamed: 0,영화명,감독,제작사,수입사,배급사,개봉일,개봉월,국적,전국스크린수,전국관객수,장르,등급,url,movie_star,배우1,배우2,배우3
0,381,홈,팀 존슨,,씨제이이앤엠(주),씨제이이앤엠(주),2015-05-21,5,미국,532,360556,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=홈%09&section=all&ie=utf8,0,,,
1,385,스토커,박찬욱,,이십세기폭스코리아(주),이십세기폭스코리아(주),2013-02-28,2,미국,329,378729,드라마,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=스토커%09&section=all&ie=utf8,0,미아와시코브스카,매튜구드,니콜키드먼
2,411,언스토퍼블,토니 스콧,이십세기폭스필름코퍼레이션,이십세기폭스코리아(주),이십세기폭스코리아(주),2010-11-10,11,미국,309,459535,액션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=언스토퍼블%09&section=all&ie=utf8,0,덴젤워싱턴,크리스파인,
3,418,레드,로베르트 슈벤트케,서미트 엔터티인먼트,(주)나이너스엔터테인먼트,(주)화앤담이엔티,2010-11-03,11,미국,322,489855,액션,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=레드%09&section=all&ie=utf8,0,,,
4,432,러브 & 드럭스,에드워드 즈윅,,,이십세기폭스코리아(주),2011-01-13,1,미국,284,527077,멜로/로맨스,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=러브 & 드럭스%09&section=all&ie=utf8,0,,,
5,434,애프터 어스,M. 나이트 샤말란,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-05-30,5,미국,484,537920,SF,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=애프터 어스%09&section=all&ie=utf8,0,윌스미스,제이든스미스,조크라비츠
6,443,루퍼,라이언 존슨,,(주)유니코리아문예투자,(주)에스비에스콘텐츠허브,2012-10-11,10,미국,386,570010,SF,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=루퍼%09&section=all&ie=utf8,0,조셉고든레빗,브루스윌리스,에밀리블런트
7,461,컨택트,드니 빌뇌브,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-02-02,2,미국,605,629322,SF,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=컨택트%09&section=all&ie=utf8,0,에이미아담스,제레미레너,포레스트휘태커
8,502,투어리스트,플로리안 헨켈 폰 도너스마르크,지케이필름,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-12-09,12,미국,439,915359,드라마,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=투어리스트%09&section=all&ie=utf8,0,안젤리나졸리,조니뎁,
9,548,신들의 전쟁,타셈 싱,,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),2011-11-10,11,미국,525,1338411,드라마,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=신들의 전쟁%09&section=all&ie=utf8,0,헨리카빌,미키루크,프리다핀토
10,591,루시,뤽 베송,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2014-09-03,9,미국,641,1971837,액션,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=루시%09&section=all&ie=utf8,0,스칼렛요한슨,모건프리먼,애널리팁튼
11,600,이클립스,데이빗 슬레이드,서미트 엔터티인먼트,판씨네마(주),(주)넥스트엔터테인먼트월드(NEW),2010-07-07,7,미국,535,2105050,판타지,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=이클립스%09&section=all&ie=utf8,0,크리스틴스튜어트,로버트패틴슨,테일러로트너
12,604,이상한 나라의 앨리스,팀 버튼,월트 디즈니 픽쳐스,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-03-04,3,미국,401,2182365,판타지,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=이상한 나라의 앨리스%09&section=all&ie=utf8,0,조니뎁,앤해서웨이,헬레나본햄카터
13,606,배틀쉽,피터 버그,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-04-11,4,미국,736,2241687,SF,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=배틀쉽%09&section=all&ie=utf8,0,테일러키취,리암니슨,리아나
14,611,나잇&데이,제임스 맨골드,"뉴리전시 픽쳐스,리젠시 엔터프라이즈,이십세기폭스필름코퍼레이션,트리 라인 필름,로드레벨,핑크",이십세기폭스코리아(주),이십세기폭스코리아(주),2010-06-24,6,미국,501,2282191,액션,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=나잇&데이%09&section=all&ie=utf8,0,톰크루즈,카메론디아즈,
15,629,타이탄,루이스 리테리어,워너 브러더스 픽쳐스,워너브러더스 코리아(주),워너브러더스 코리아(주),2010-04-01,4,미국,694,2685508,액션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=타이탄%09&section=all&ie=utf8,0,,,
16,638,메이즈 러너,웨스 볼,,이십세기폭스코리아(주),이십세기폭스코리아(주),2014-09-18,9,미국,648,2812427,액션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=메이즈 러너%09&section=all&ie=utf8,0,딜런오브라이언,토마스생스터,이기홍
17,642,솔트,필립 노이스,콜럼비아 픽쳐스 코포레이션,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-07-29,7,미국,556,2921331,스릴러,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=솔트%09&section=all&ie=utf8,0,안젤리나졸리,,
18,660,인턴,낸시 마이어스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-09-24,9,미국,496,3610642,코미디,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=인턴%09&section=all&ie=utf8,0,로버트드니로,앤해서웨이,
