name,director,producer,Importer,Distributor,date,year,month,country,screen,audience,genre,limit,actor1,actor2,actor3,star
엘라의모험2:백설공주길들이기,"보이드커클랜드,스티븐E.고든",바프베를린애니메이션필름,코리아코어컨텐츠,㈜케이디미디어,2010-02-25,2010,2,미국,84,63857,가족,전체관람가,G.K.보위스,켈리브로워,켈리브루스터,7.22
빅뱅메이드,변진호,(주)와이지엔터테인먼트,,씨제이씨지브이(CJCGV)(주),2016-06-30,2016,6,한국,56,55227,다큐멘터리,12세이상관람가,G-DRAGON,태양,T.O.P,9.14
이모티:더무비,토니레온디스,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-08-02,2017,8,미국,134,40221,애니메이션,전체관람가,T.J.밀러,패트릭스튜어트,제임스코든,6.43
타짜-신의손,강형철,(주)싸이더스,,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",2014-09-03,2014,9,한국,890,4001813,드라마,청소년관람불가,T.O.P,신세경,곽도원,7.27
동창생,박홍수,"더램프(주),(주)황금물고기",,(주)쇼박스,2013-11-06,2013,11,한국,660,1044522,액션,15세이상관람가,T.O.P,한예리,윤제문,7.31
락아웃:익스트림미션,"제임스매더스,스테판St.레게르",,데이지엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2012-06-14,2012,6,미국,374,462176,SF,15세이상관람가,가이피어스,매기그레이스,조셉길건,6.45
눈의여왕,"블라드바르베,막심스베쉬니코브",,(주)씨씨에스미디어,(주)넥스트엔터테인먼트월드(NEW),2013-02-07,2013,2,러시아,316,274229,애니메이션,전체관람가,갈리나티유니나,안나슈로치키나,이반오클로비스틴,5.29
대한민국1%,조명남,㈜기억속의매미,,롯데쇼핑㈜롯데엔터테인먼트,2010-05-05,2010,5,한국,287,447569,드라마,12세이상관람가,감독:박범수,,,6.27
비정한도시감독판,김문흠,(주)온전한컴퍼니,,(주)인벤트스톤,2012-10-25,2012,10,한국,172,22900,미스터리,청소년관람불가,감독:박범수,,,4.53
헨젤과그레텔:마녀사냥꾼3D,토미위르콜라,,씨제이이앤엠(주),씨제이이앤엠(주),2013-02-14,2013,2,미국,297,269510,액션,청소년관람불가,감독:박범수,,,7.58
언터처블:1%의우정,"올리비에르나카체,에릭토레다노",,블루미지,(주)넥스트엔터테인먼트월드(NEW),2012-03-22,2012,3,프랑스,454,1719772,코미디,12세이상관람가,감독:박범수,,,9.34
무법자,김철한,청강스토리㈜,,(주)넥스트엔터테인먼트월드(NEW),2010-03-18,2010,3,한국,192,163334,드라마,청소년관람불가,감우성,장신영,김민주,2.84
초능력자,김민석,영화사집,,(주)넥스트엔터테인먼트월드(NEW),2010-11-10,2010,11,한국,622,2164805,SF,15세이상관람가,강동원,고수,정은채,6.68
인랑,김지운,(주)루이스픽쳐스,,워너브러더스코리아(주),2018-07-25,2018,7,한국,1085,863132,SF,15세이상관람가,강동원,한효주,정우성,3.87
두근두근내인생,이재용,영화사집,,씨제이이앤엠(주),2014-09-03,2014,9,한국,629,1611519,드라마,12세이상관람가,강동원,송혜교,조성목,7.05
가려진시간,엄태화,(주)바른손이앤에이,,(주)쇼박스,2016-11-16,2016,11,한국,884,510878,드라마,12세이상관람가,강동원,신은수,이효제,8.43
골든슬럼버,노동석,영화사집,,씨제이이앤엠(주),2018-02-14,2018,2,한국,833,1387562,범죄,15세이상관람가,강동원,김의성,한효주,5.28
"날,보러와요",이철하,"(주)오에이엘,(주)발렌타인필름",,메가박스중앙(주)플러스엠,2016-04-07,2016,4,한국,683,1061412,미스터리,청소년관람불가,강예원,이상윤,최진호,7.27
비정규직특수요원,김덕수,"(주)스톰픽쳐스코리아,컴퍼니에이이엔티(주)",,"(주)이수C&E,(주)스톰픽쳐스코리아",2017-03-16,2017,3,한국,497,149719,코미디,15세이상관람가,강예원,한채아,,6.04
차형사,신태라,(주)영화사홍,,씨제이이앤엠(주),2012-05-30,2012,5,한국,433,1346754,코미디,15세이상관람가,강지환,성유리,이수혁,7.46
IAM,최진성,"씨제이이앤엠(주),(주)에스엠엔터테인먼트",,씨제이이앤엠(주),2012-06-21,2012,6,한국,137,32988,다큐멘터리,전체관람가,강타,보아,유노윤호,7.38
에스엠타운더스테이지,배성상,(주)에스엠컬처앤콘텐츠,,주식회사디에스이이디,2015-08-13,2015,8,한국,65,35857,다큐멘터리,전체관람가,강타,보아,동방신기,8.25
동주,이준익,(주)루스이소니도스,,메가박스중앙(주)플러스엠,2016-02-17,2016,2,한국,499,1168427,드라마,12세이상관람가,강하늘,박정민,김인우,9.36
소녀괴담,오인천,"(주)고스트픽처스,(주)주피터필름",,(주)리틀빅픽쳐스,2014-07-02,2014,7,한국,455,480528,미스터리,15세이상관람가,강하늘,김소은,,5.47
기억의밤,장항준,(주)비에이엔터테인먼트,,"메가박스중앙(주)플러스엠,주식회사키위컴퍼니",2017-11-29,2017,11,한국,751,1387599,미스터리,15세이상관람가,강하늘,김무열,,8.16
원더우먼,팻티젠킨스,,워너브러더스코리아(주),워너브러더스코리아(주),2017-05-31,2017,5,미국,1034,2165401,액션,12세이상관람가,갤가돗,크리스파인,,7.71
8인:최후의결사단,진덕삼,차이나필름그룹,씨제이엔터테인먼트,씨제이엔터테인먼트,2010-01-21,2010,1,중국,160,116788,액션,15세이상관람가,견자단,사정봉,양가휘,6.62
엽문2,엽위신,만다린필름즈디스트리뷰션,(주)씨네라인코리아,(주)프라임엔터테인먼트,2010-06-16,2010,6,홍콩,141,59881,액션,15세이상관람가,견자단,홍금보,황효명,8.77
정무문:100대1의전설,유위강,,데이지엔터테인먼트,(주)싸이더스,2011-06-22,2011,6,홍콩,225,117141,액션,15세이상관람가,견자단,서기,,7.35
무협,진가신,,(주)봄비,(주)넥스트엔터테인먼트월드(NEW),2011-11-17,2011,11,홍콩,137,28698,액션,15세이상관람가,견자단,금성무,탕웨이,7.61
채비,조영준,(주)26컴퍼니,,오퍼스픽쳐스,2017-11-09,2017,11,한국,480,175889,드라마,12세이상관람가,고두심,김성균,,8.76
루시드드림,김준성,(주)로드픽쳐스,,(주)넥스트엔터테인먼트월드(NEW),2017-02-22,2017,2,한국,461,102170,SF,15세이상관람가,고수,설경구,,5.88
반창꼬,정기훈,(주)영화사오름,,(주)넥스트엔터테인먼트월드(NEW),2012-12-19,2012,12,한국,466,2471721,멜로/로맨스,15세이상관람가,고수,한효주,,8.58
