"영화명","감독","제작사","수입사","배급사","개봉일","개봉월","국적","전국스크린수","전국관객수","장르","등급","배우1","배우2","배우3","별점","감독점수","제작사점수","수입사점수","배우1점수","배우2점수","배우3점수"
"레지던트","안티조키넨","","(주)쇼박스,(주)케이앤엔터테인먼트","(주)쇼박스","2011-06-02",6,"3국",200,66216,"스릴러","청소년관람불가","힐러리스웽크","제프리딘모건","크리스토퍼리",6.94,66216,762553.945321993,66216,41794,725865.5,66216
"유아낫유","조지C.울프","","모비딕엔터테인먼트(주)","(주)마인스엔터테인먼트","2015-01-21",1,"미국",103,17372,"드라마","15세이상관람가","힐러리스웽크","에미로섬","조쉬더하멜",8.73,17372,762553.945321993,17372,41794,17372,2641323
"제로포커스","이누도잇신","","거원시네마(주)","씨제이엔터테인먼트","2010-03-25",3,"3국",76,12260,"드라마","15세이상관람가","히로스에료코","나카타니미키","키무라타에",6.92,12260,762553.945321993,12260,12260,12260,12260
"원피스극장판:스트롱월드","사카이무네히사","도에이애니메이션컴퍼니","투니버스(주)온미디어","투니버스(주)온미디어","2010-02-11",2,"3국",76,145751,"애니메이션","전체관람가","히라타히로아키","쵸","",8.87,145751,145751,131371.5,145751,145751,957932.33604336
"페어리테일:봉황의무녀","후지모리마사야","","(주)머스트씨무비","(주)나이너스엔터테인먼트","2013-02-28",2,"3국",50,11830,"애니메이션","전체관람가","히라노아야","카키하라테츠야","",8.9,35602,762553.945321993,24471,11830,11830,957932.33604336
"데스노트:더뉴월드","사토신스케","","(주)엔케이컨텐츠","(주)디스테이션","2017-03-29",3,"3국",309,28723,"범죄","15세이상관람가","히가시데마사히로","이케마츠소스케","토다에리카",5.03,28723,762553.945321993,119787.75,28723,28723,28723
"레미제라블","톰후퍼","","유니버설픽쳐스인터내셔널코리아(유)","유니버설픽쳐스인터내셔널코리아(유)","2012-12-19",12,"미국",696,5911890,"드라마","12세이상관람가","휴잭맨","앤해서웨이","러셀크로우",8.34,3359069,762553.945321993,778770.556521739,1873233.25,3416053.14285714,2985297
"더울버린","제임스맨골드","","이십세기폭스코리아(주)","이십세기폭스코리아(주)","2013-07-25",7,"미국",707,1075333,"액션","15세이상관람가","휴잭맨","","",6.13,1809202.66666667,762553.945321993,1276741.5375,1873233.25,726970.612244898,957932.33604336
"채피","닐블롬캠프","","유니버설픽쳐스인터내셔널코리아(유)","유니버설픽쳐스인터내셔널코리아(유)","2015-03-12",3,"미국",536,573657,"액션","15세이상관람가","휴잭맨","샬토코플리","시고니위버",7.76,890694.5,762553.945321993,778770.556521739,1873233.25,573657,217212
"프리즈너스","드니빌뇌브","","판씨네마(주)","(주)넥스트엔터테인먼트월드(NEW),판씨네마(주)","2013-10-02",10,"미국",297,186460,"범죄","청소년관람불가","휴잭맨","제이크질렌할","",8.09,378933.333333333,762553.945321993,625486.15,1873233.25,186460,957932.33604336
"팬","조라이트","","워너브러더스코리아(주)","워너브러더스코리아(주)","2015-10-08",10,"미국",428,185960,"판타지","전체관람가","휴잭맨","가렛헤드룬드","루니마라",8.5,144029.75,762553.945321993,1399135.08641975,1873233.25,275014,162550
"로건","제임스맨골드","","이십세기폭스코리아(주)","이십세기폭스코리아(주)","2017-03-01",3,"미국",954,2070084,"액션","청소년관람불가","휴잭맨","","",9.05,1809202.66666667,762553.945321993,1276741.5375,1873233.25,726970.612244898,957932.33604336
"리얼스틸","숀레비","","한국소니픽쳐스릴리징브에나비스타영화㈜","한국소니픽쳐스릴리징브에나비스타영화㈜","2011-10-12",10,"미국",603,3579666,"액션","12세이상관람가","휴잭맨","에반젤린릴리","다코타고요",9.06,2340672,762553.945321993,1153290.7804878,1873233.25,3952579.66666667,3579666
"위대한쇼맨","마이클그레이시","","이십세기폭스코리아(주)","이십세기폭스코리아(주)","2017-12-20",12,"미국",702,1402816,"드라마","12세이상관람가","휴잭맨","미셸윌리엄스","잭에프론",9.37,1402816,762553.945321993,1276741.5375,1873233.25,1402816,1402816
"들어는봤니?모건부부","마크로렌스","콜럼비아픽쳐스코포레이션","한국소니픽쳐스릴리징브에나비스타영화㈜","한국소니픽쳐스릴리징브에나비스타영화㈜","2010-01-28",1,"미국",163,115454,"코미디","15세이상관람가","휴그랜트","사라제시카파커","",6.64,115454,824814,1153290.7804878,115454,115454,957932.33604336
"가디언의전설","잭스나이더","워너브러더스픽쳐스","워너브러더스코리아(주)","워너브러더스코리아(주)","2010-10-28",10,"미국",268,307217,"애니메이션","전체관람가","휴고위빙","짐스터게스","라이언콴튼",8.07,1337869.8,824116,1399135.08641975,1294980.5,196007,261083
"호빗:스마우그의폐허","피터잭슨","","워너브러더스코리아(주)","워너브러더스코리아(주)","2013-12-12",12,"미국",811,2282744,"어드벤처","12세이상관람가","휴고위빙","마틴프리먼","루크에반스",8.48,1177727.57142857,762553.945321993,1399135.08641975,1294980.5,1780819,2482859
"극장판암살교실:365일의시간","키시세이지","","애니맥스브로드캐스팅코리아","(주)박수엔터테인먼트","2017-03-23",3,"3국",98,28364,"애니메이션","12세이상관람가","후쿠야마쥰","스기타토모카즈","이토시즈카",8.47,28364,762553.945321993,28364,28364,28364,28364
"걸즈앤판처극장판","미즈시마츠토무","","(주)머스트씨무비릴리징컴퍼니","(주)머스트씨무비릴리징컴퍼니","2016-08-25",8,"3국",57,28121,"애니메이션","12세이상관람가","후치가미마이","카야노아이","",8.89,28121,762553.945321993,20227.6666666667,28121,25264,957932.33604336
"극장판파워레인저엔진포스VS와일드스피릿","모로타사토시","","대원미디어(주)","씨제이엔터테인먼트","2010-01-07",1,"3국",125,137690,"SF","전체관람가","후루하라야스히사","카타오카신와","아이자와리나",7.29,137690,762553.945321993,168973.310344828,137690,137690,137690
"모비딕","박인제","(주)쇼박스,(주)팔레트픽처스","","(주)쇼박스","2011-06-09",6,"한국",377,428139,"스릴러","15세이상관람가","황정민","진구","김민희",7.23,895386.5,428139,1677501.34942085,5824407.27272727,1484094.4,428139
"남자가사랑할때","한동욱","(주)사나이픽처스,필름트레인","","(주)넥스트엔터테인먼트월드(NEW)","2014-01-22",1,"한국",531,1979311,"멜로/로맨스","15세이상관람가","황정민","한혜진","",8.65,1979311,1979311,1677501.34942085,5824407.27272727,2471380,957932.33604336
"군함도","류승완","(주)외유내강,(주)필름케이","","씨제이이앤엠(주)","2017-07-26",7,"한국",2027,6592151,"액션","15세이상관람가","황정민","소지섭","송중기",5.28,7480046.5,9993775.5,1677501.34942085,5824407.27272727,6592151,6592151
"구르믈버서난달처럼","이준익","(주)영화사아침,(주)타이거픽쳐스","","에스케이텔레콤(주)","2010-04-28",4,"한국",509,1407681,"사극","15세이상관람가","황정민","차승원","한지혜",6.86,2290885.71428571,1108456.66666667,1677501.34942085,5824407.27272727,1407681,1407681
"전설의주먹","강우석","(주)시네마서비스","","씨제이이앤엠(주)","2013-04-10",4,"한국",724,1737253,"드라마","청소년관람불가","황정민","유준상","이요원",7.6,2001172.75,1331939.75,1677501.34942085,5824407.27272727,1687968.75,1737253
"검사외전","이일형","(주)영화사월광,(주)사나이픽처스","","(주)쇼박스","2016-02-03",2,"한국",1812,9699092,"범죄","15세이상관람가","황정민","강동원","",7.94,9699092,6135291.5,1677501.34942085,5824407.27272727,6514515.8,957932.33604336
"히말라야","이석훈","(주)제이케이필름","","씨제이이앤엠(주)","2015-12-16",12,"한국",1009,7759473,"드라마","12세이상관람가","황정민","정우","",7.98,6821259,5414008.5,1677501.34942085,5824407.27272727,7759473,957932.33604336
"부당거래","류승완","필름트레인,(주)외유내강","","씨제이엔터테인먼트","2010-10-28",10,"한국",502,2766436,"범죄","청소년관람불가","황정민","류승범","유해진",8.67,7480046.5,2766436,1677501.34942085,5824407.27272727,1983084.25,5324328.14285714
"댄싱퀸","이석훈","(주)제이케이필름,씨제이이앤엠(주)","","씨제이이앤엠(주)","2012-01-18",1,"한국",534,4057546,"코미디","12세이상관람가","황정민","엄정화","",8.88,6821259,5083731.5,1677501.34942085,5824407.27272727,4057546,957932.33604336
"베테랑","류승완","(주)외유내강,(주)필름케이","","씨제이이앤엠(주)","2015-08-05",8,"한국",1064,13395400,"액션","15세이상관람가","황정민","유아인","유해진",9.01,7480046.5,9993775.5,1677501.34942085,5824407.27272727,8317586.33333333,5324328.14285714
"국제시장","윤제균","(주)제이케이필름,씨제이이앤엠(주)","","씨제이이앤엠(주)","2014-12-17",12,"한국",966,14245998,"드라마","12세이상관람가","황정민","김윤진","오달수",9.01,14245998,5083731.5,1677501.34942085,5824407.27272727,14245998,5454382.71428571
"주문진","하명중","(주)하명중영화제작소","","롯데쇼핑㈜롯데엔터테인먼트","2010-01-21",1,"한국",93,67167,"드라마","12세이상관람가","황보라","김기범","",6.93,67167,67167,1677501.34942085,67167,67167,957932.33604336
"역린","이재규","굿초이스컷픽쳐스(주),(주)파파스필름","","롯데쇼핑㈜롯데엔터테인먼트","2014-04-30",4,"한국",1054,3849433,"사극","15세이상관람가","현빈","정재영","조정석",7.06,3849433,3849433,1677501.34942085,4132330.75,3849433,2041322
