영화명,개봉일,스크린수,스크린점유율
아이언맨 2,2010-04-29,921,0.02 
포화속으로,2010-06-16,742,0.01 
이끼,2010-07-14,740,0.01 
해리 포터와 죽음의 성물1,2010-12-15,717,0.01 
아바타,2009-12-17,714,0.01 
타이탄,2010-04-01,694,0.01 
황해,2010-12-22,618,0.01 
초능력자,2010-11-10,612,0.01 
의형제,2010-02-04,569,0.01 
페르시아의 왕자: 시간의 모래,2010-05-27,567,0.01 
드래곤 길들이기,2010-05-20,563,0.01 
슈렉 포에버,2010-07-01,561,0.01 
전우치,2009-12-23,556,0.01 
솔트,2010-07-29,556,0.01 
하녀,2010-05-13,555,0.01 
로빈 후드,2010-05-13,544,0.01 
라스트 갓파더,2010-12-29,537,0.01 
이클립스,2010-07-07,535,0.01 
인셉션,2010-07-21,531,0.01 
해결사,2010-09-09,525,0.01 
구르믈 버서난 달처럼,2010-04-28,506,0.01 
부당거래,2010-10-28,502,0.01 
아저씨,2010-08-04,501,0.01 
방자전,2010-06-02,495,0.01 
나잇&데이,2010-06-24,494,0.01 
나니아 연대기: 새벽 출정호의 항해,2010-12-08,493,0.01 
악마를 보았다,2010-08-12,490,0.01 
헬로우 고스트,2010-12-22,472,0.01 
쩨쩨한 로맨스,2010-12-01,450,0.01 
워리어스 웨이,2010-12-01,433,0.01 
스카이 라인,2010-11-24,427,0.01 
김종욱 찾기,2010-12-08,427,0.01 
심야의 F.M.,2010-10-14,423,0.01 
투어리스트,2010-12-09,418,0.01 
시라노; 연애조작단,2010-09-16,415,0.01 
무적자,2010-09-16,412,0.01 
라스트 에어벤더,2010-08-19,399,0.01 
이상한 나라의 앨리스,2010-03-04,397,0.01 
토이 스토리 3,2010-08-05,393,0.01 
하모니,2010-01-28,384,0.01 
트론: 새로운 시작,2010-12-29,379,0.01 
이층의 악당,2010-11-24,379,0.01 
파괴된 사나이,2010-07-01,363,0.01 
셜록 홈즈,2009-12-23,359,0.01 
식객2 : 김치전쟁,2010-01-28,347,0.01 
검우강호,2010-10-14,344,0.01 
불량남녀,2010-11-04,338,0.01 
슈퍼 배드,2010-09-16,338,0.01 
마루 밑 아리에티,2010-09-09,337,0.01 
레지던트 이블 4: 끝나지 않은 전쟁 3D,2010-09-16,337,0.01 
나인,2009-12-31,336,0.01 
퍼시 잭슨과 번개 도둑,2010-02-11,334,0.01 
맨발의 꿈,2010-06-24,332,0.01 
먹고 기도하고 사랑하라,2010-09-30,324,0.01 
A-특공대,2010-06-10,323,0.01 
용서는 없다,2010-01-07,323,0.01 
퀴즈왕,2010-09-16,321,0.01 
육혈포 강도단,2010-03-18,319,0.01 
레드,2010-11-03,317,0.01 
주유소 습격사건 2,2010-01-21,315,0.01 
고死 두 번째 이야기: 교생실습,2010-07-28,313,0.01 
방가? 방가!,2010-09-30,312,0.01 
소셜 네트워크,2010-11-18,310,0.01 
피라냐,2010-08-26,310,0.01 
새미의 어드벤쳐,2010-12-15,309,0.01 
베스트셀러,2010-04-15,308,0.01 
마법사의 제자,2010-07-21,300,0.01 
언스토퍼블,2010-11-10,297,0.01 
프롬 파리 위드 러브,2010-03-11,294,0.01 
적인걸: 측천무후의 비밀,2010-10-06,292,0.01 
월 스트리트: 머니 네버 슬립스,2010-10-21,288,0.01 
대한민국 1%,2010-05-05,286,0.01 
레터스 투 줄리엣,2010-10-06,283,0.01 
킬러스,2010-09-02,282,0.01 
하늘에서 음식이 내린다면,2010-02-11,282,0.01 
아스트로 보이-아톰의 귀환,2010-01-13,278,0.01 
아빠가 여자를 좋아해,2010-01-14,277,0.01 
친정엄마,2010-04-22,275,0.01 
셔터 아일랜드,2010-03-18,272,0.01 
비밀애,2010-03-25,268,0.01 
그린 존,2010-03-25,268,0.01 
가디언의 전설,2010-10-28,267,0.01 
평행이론,2010-02-18,265,0.01 
내 깡패 같은 애인,2010-05-20,265,0.01 
반가운 살인자,2010-04-08,264,0.01 
울프맨,2010-02-11,263,0.01 
마음이2,2010-07-21,262,0.01 
익스펜더블,2010-08-19,259,0.01 
디어 존,2010-03-04,255,0.00 
일라이,2010-04-15,253,0.00 
베스트 키드,2010-06-10,252,0.00 
스텝 업 3D,2010-08-05,250,0.00 
파르나서스 박사의 상상극장,2009-12-23,245,0.00 
앨빈과 슈퍼밴드2,2009-12-30,244,0.00 
뮬란: 전사의 귀환,2010-09-02,242,0.00 
22 블렛,2010-10-14,237,0.00 
공자 춘추전국시대,2010-02-11,236,0.00 
명탐정 코난: 천공의 난파선,2010-07-21,235,0.00 
페스티발,2010-11-18,234,0.00 
섹스 앤 더 시티 2,2010-06-10,233,0.00 
그랑프리,2010-09-16,232,0.00 
프레데터스,2010-08-26,231,0.00 
