영화명,개봉일,상영횟수,상영점유율
의형제,2010-02-04,"118,243",0.03 
아바타,2009-12-17,"111,860",0.03 
아저씨,2010-08-04,"109,853",0.03 
타이탄,2010-04-01,"87,911",0.02 
아이언맨 2,2010-04-29,"87,665",0.02 
인셉션,2010-07-21,"81,891",0.02 
포화속으로,2010-06-16,"80,091",0.02 
시라노; 연애조작단,2010-09-16,"77,736",0.02 
하모니,2010-01-28,"77,723",0.02 
전우치,2009-12-23,"73,175",0.02 
부당거래,2010-10-28,"69,703",0.02 
방자전,2010-06-02,"67,562",0.02 
하녀,2010-05-13,"59,621",0.01 
해결사,2010-09-09,"59,325",0.01 
이상한 나라의 앨리스,2010-03-04,"58,393",0.01 
이끼,2010-07-14,"58,198",0.01 
초능력자,2010-11-10,"58,000",0.01 
드래곤 길들이기,2010-05-20,"57,264",0.01 
나잇&데이,2010-06-24,"54,797",0.01 
솔트,2010-07-29,"53,679",0.01 
육혈포 강도단,2010-03-18,"51,941",0.01 
슈렉 포에버,2010-07-01,"51,317",0.01 
페르시아의 왕자: 시간의 모래,2010-05-27,"51,307",0.01 
심야의 F.M.,2010-10-14,"50,423",0.01 
구르믈 버서난 달처럼,2010-04-28,"48,314",0.01 
쩨쩨한 로맨스,2010-12-01,"46,366",0.01 
이클립스,2010-07-07,"46,355",0.01 
무적자,2010-09-16,"46,186",0.01 
퍼시 잭슨과 번개 도둑,2010-02-11,"43,667",0.01 
악마를 보았다,2010-08-12,"42,721",0.01 
로빈 후드,2010-05-13,"41,953",0.01 
방가? 방가!,2010-09-30,"41,556",0.01 
해리 포터와 죽음의 성물1,2010-12-15,"41,530",0.01 
베스트셀러,2010-04-15,"41,064",0.01 
레지던트 이블 4: 끝나지 않은 전쟁 3D,2010-09-16,"37,849",0.01 
용서는 없다,2010-01-07,"33,614",0.01 
나니아 연대기: 새벽 출정호의 항해,2010-12-08,"32,619",0.01 
라스트 에어벤더,2010-08-19,"32,416",0.01 
평행이론,2010-02-18,"32,341",0.01 
파괴된 사나이,2010-07-01,"31,985",0.01 
스카이 라인,2010-11-24,"31,690",0.01 
김종욱 찾기,2010-12-08,"31,256",0.01 
마루 밑 아리에티,2010-09-09,"29,804",0.01 
반가운 살인자,2010-04-08,"29,724",0.01 
셔터 아일랜드,2010-03-18,"29,043",0.01 
레터스 투 줄리엣,2010-10-06,"28,683",0.01 
토이 스토리 3,2010-08-05,"28,615",0.01 
주유소 습격사건 2,2010-01-21,"27,844",0.01 
그린 존,2010-03-25,"27,563",0.01 
이층의 악당,2010-11-24,"26,998",0.01 
투어리스트,2010-12-09,"26,853",0.01 
A-특공대,2010-06-10,"26,460",0.01 
내 깡패 같은 애인,2010-05-20,"25,806",0.01 
셜록 홈즈,2009-12-23,"25,768",0.01 
친정엄마,2010-04-22,"24,994",0.01 
황해,2010-12-22,"24,740",0.01 
슈퍼 배드,2010-09-16,"24,577",0.01 
헬로우 고스트,2010-12-22,"24,542",0.01 
불량남녀,2010-11-04,"24,441",0.01 
적인걸: 측천무후의 비밀,2010-10-06,"23,641",0.01 
퀴즈왕,2010-09-16,"23,579",0.01 
고死 두 번째 이야기: 교생실습,2010-07-28,"23,307",0.01 
워리어스 웨이,2010-12-01,"23,127",0.01 
식객2 : 김치전쟁,2010-01-28,"22,753",0.01 
피라냐,2010-08-26,"22,744",0.01 
레드,2010-11-03,"22,481",0.01 
프롬 파리 위드 러브,2010-03-11,"22,348",0.01 
먹고 기도하고 사랑하라,2010-09-30,"22,299",0.01 
언스토퍼블,2010-11-10,"21,495",0.01 
검우강호,2010-10-14,"20,571",0.01 
마음이2,2010-07-21,"20,458",0.01 
