,영화명,감독,제작사,수입사,배급사,개봉일,국적,전국스크린수,전국관객수,장르,등급,url,movie_star,배우
0,저스티스,로저 도널드슨,,(주)쇼박스,(주)쇼박스,2012-03-15,미국,142,44546,액션,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=저스티스%09&section=all&ie=utf8,7.07,  서부   미국 분     감독   리처드 가베이 출연   스티븐 랭  제이미 린 시글러  잭슨 라스본  나단 파슨스   드라마   필리핀 분     감독   조엘 라망간 출연   노라 아우놀   액션  드라마  스릴러   미국 분     감독   로저 도널드슨 출연   니콜라스 케이지  가이 피어스  재뉴어리 존스   네덜란드  브라질 분     감독   마리아 라모스   코미디  드라마   미국 분     감독   에번 오펜하이머 출연   에릭 팔라디노  마이클 제이 화이트  남   출생년도    관련영화   죽음의 영혼  비우  치티 치티 뱅 뱅  남   출생년도    관련영화   아일랜드 크로스  음악  빌런  음악  후퍼  음악  남   출생년도    관련영화   미스티  음악  남   출생년도    관련영화   골리어드 업라이징  포르노그래피  밀크  더 멘 넥스트 도어  편집  롤플레이  편집  더 디펜더스  편집  남   출생년도    관련영화   아메리칸 메이드  윈터요원역  하트 베이비  버스데이 케이크  배역명   저스티스영화명   스트리퍼  늑대인간   감독   조나단 글렌데닝  배역명   저스티스영화명   제이 앤 사일런트 밥   감독   케빈 스미스  배역명   저스티스 실리에영화명   락 오브 에이지   감독   아담 쉥크만  배역명   저스티스영화명   아메리칸 저스티스   감독   드미트리우스 나바로  배역명   저스티스 스트라우스영화명   레모니 스니켓의 위험한 대결   감독   브래드 실버링
1,히어애프터,클린트 이스트우드,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-03-24,미국,112,45755,드라마,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=히어애프터%09&section=all&ie=utf8,7.82,  애니메이션   포르투갈  헝가리 분     감독   나탈리아 아제베도 안드라지   드라마   폴란드  스웨덴  프랑스 분     감독   매그너스 본 혼 출연   율리크 먼더  매츠 브롬그렌   한국 분     감독   곽지혜   드라마  판타지   미국 분     감독   클린트 이스트우드 출연   맷 데이먼  세실 드 프랑스     스릴러   미국     감독   라이언 루이스  마이클 매니 출연   브랜든 리  린지 밸리치카
2,더 비지트,M. 나이트 샤말란,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-10-15,미국,279,52197,스릴러,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=더 비지트%09&section=all&ie=utf8,7.02,  드라마   미국 분     감독   로미나 슈베들러   스릴러  공포   미국 분     감독    나이트 샤말란 출연   에드 옥슨볼드  올리비아 데종   다큐멘터리   덴마크  오스트리아  아일랜드  핀란드  노르웨이 분     감독   마이클 매드슨   독일 분     감독   잔 솔다트   다큐멘터리   이집트  독일 분     감독   나디아 무니에  마로안 오마라
3,파더 앤 도터,가브리엘 무치노,,(주)에이블엔터테인먼트,(주)박수엔터테인먼트,2015-12-10,미국,352,58704,드라마,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=파더 앤 도터%09&section=all&ie=utf8,8.18,  가족   중국 분     감독   시에 청린   드라마   미국  이탈리아 분     감독   가브리엘 무치노 출연   아만다 사이프리드  아론 폴  러셀 크로우
4,라스트 스탠드,김지운,디 보나벤츄라 픽쳐스,데이지엔터테인먼트,씨제이이앤엠(주),2013-02-21,미국,300,66698,액션,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=라스트 스탠드%09&section=all&ie=utf8,7.79,  미국 분     감독   줄리안 조단   액션   미국 분     감독   김지운 출연   아놀드 슈왈제네거  포레스트 휘태커  조니 녹스빌  로드리고 산토로  제이미 알렉산더   다큐멘터리   스웨덴 분     감독   피터 겔데헤그  텔 올린
5,베니싱,브래드 앤더슨,,(주)누리픽쳐스,(주)넥스트엔터테인먼트월드(NEW),2011-03-31,미국,181,73582,미스터리,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=베니싱%09&section=all&ie=utf8,5.95,  애니메이션   체코 분     감독   베로니카 블코바  잔 스라멕   공포  미스터리  스릴러   미국 분     감독   브래드 앤더슨 출연   헤이든 크리스텐슨  탠디 뉴튼  존 레귀자모   드라마  공포  미스터리  스릴러   미국 분     감독   조지 슬루이저 출연   제프 브리지스  키퍼 서덜랜드  낸시 트래비스   미스터리  스릴러   네덜란드  프랑스 분     감독   조지 슬루이저 출연   버나드 피에르 도나디우  기니 베르보에츠   다큐멘터리   미국     감독   조지 랭워시  마리암 헤인 출연   엘렌 페이지  에밀리아 폭스
6,더 콜,브래드 앤더슨,,(주)포커스엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),2013-06-20,미국,241,88953,스릴러,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=더 콜%09&section=all&ie=utf8,8.35,  애니메이션   루마니아 분     감독   안카 다미안   드라마  스릴러   영국 분     감독   에단 자한   드라마   남아프리카 공화국 분     감독   자모 므콰나지   다큐멘터리   브라질 분     감독   구스타보 비나그레   범죄  스릴러   미국 분     감독   브래드 앤더슨 출연   아비게일 브레스린  할리 베리  모리스 체스트넛
7,마마,안드레스 무시에티,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2013-01-23,미국,164,91143,공포(호러),15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=마마%09&section=all&ie=utf8,7.78,  다큐멘터리   폴란드 분     감독   보이첵 코자키비치   다큐멘터리   중국 분     감독   진 싱젱   드라마   스페인  프랑스 분     감독   훌리오 메뎀 출연   페넬로페 크루즈  루이스 토사  에시어 엑센디아   드라마   한국 분     감독   고태욱 출연   안창현   드라마 분     감독   다빗 피르츠할라바  여   출생년도    관련영화   퍼픈스터프  남   관련영화   귀향  감독  여   관련영화   범프  감독각본프로듀서  배역명   마마 스튜디오 직원들영화명   뷰티 인사이드   감독   백종열  배역명   마마 여손님영화명   뷰티 인사이드   감독   백종열  배역명   마마영화명   마마   감독   안드레스 무시에티  배역명   마마 카츠자영화명   요코   감독   프란지스카 부흐  배역명   매트론 마마 모턴영화명   시카고   감독   롭 마샬
8,프리스트,스콧 찰스 스튜어트,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-06-09,미국,228,93336,액션,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=프리스트%09&section=all&ie=utf8,6.08,  애니메이션  코미디   이탈리아 분     감독   아스투틸로 스메리올리아 출연   거글리엘모 파빌라  파브리지오 오데토   액션  공포    스릴러   미국 분     감독   스콧 찰스 스튜어트 출연   폴 베타니  매기 큐   드라마   영국 분     감독   안토니아 버드 출연   라이너스 로체  톰 윌킨슨  로버트 칼라일  캐시 타이슨  레슬리 샤프  로버트 퍼프   애니메이션   일본 분     감독   사카모토 유스케   코미디  드라마  멜로로맨스   미국 분     감독   존 포드 출연   윌 로저스  톰 브라운  남   출생년도    관련영화   나는 아직도 네가 지난 여름에 한 일을 알고 있다  타임 아웃   초창기  남   출생년도    관련영화   금지된 사랑  플롯 어게인스트 해리  플롯 어게인스트 해리    남   출생년도    관련영화   인크레더블   이지 컴 이지 고  아내는 요술쟁이  남   관련영화   프레스티지  원작  남   관련영화   사우스사이드  라인프로듀서  배역명   스트롱 프리스트영화명   프리스트   감독   스콧 찰스 스튜어트  배역명   조너선 프리스트데이빗 에서영화명   프랭클린   감독   제럴드 맥모로우  배역명   브라베 프리스트영화명   프리스트   감독   스콧 찰스 스튜어트  배역명   프리스트영화명   베스트 맨 다운   감독   테드 코랜드  배역명   프리스트영화명   프리스트   감독   스콧 찰스 스튜어트
9,라스트 나잇,마시 태지딘,,데이지엔터테인먼트,(주)싸이더스,2011-04-07,미국,243,119963,멜로/로맨스,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=라스트 나잇%09&section=all&ie=utf8,8.06,  드라마   프랑스 분     감독   프랑크 요피스 출연   레미 부테 드 몽벨  앙투안 피쇼  피에르 라로아   코미디   캐나다 분     감독   알렌 코노파키   멜로로맨스  드라마   미국  프랑스 분     감독   마시 태지딘 출연   키이라 나이틀리  샘 워싱턴   영국 분     감독   아비 반 월섬 출연   안소니 앤드류스  크리스챤 코울선   캐나다 분     감독   돈 맥켈러 출연   데이비드 크로넨버그  트레이시 라이트  주느비에브 뷔졸드  로버타 맥스웰  트렌트 맥멀렌  카렌 글레이브  재키 버로우즈
